frame_no,joint_name,x_cm,y_cm,z_cm
152,left_elbow,108.75,122.98,-132.69
153,left_elbow,108.8,122.96,-128.03
154,left_elbow,108.8,122.94,-125.9
155,left_elbow,109.13,122.98,-119.27
156,left_elbow,109.3,122.97,-119.42
157,left_elbow,109.4,122.98,-119.41
158,left_elbow,109.47,123.01,-118.79
159,left_elbow,109.5,123.04,-118.74
160,left_elbow,109.51,123.04,-119.1
161,left_elbow,109.6,122.64,-122.79
162,left_elbow,109.65,122.49,-124.58
163,left_elbow,109.73,122.45,-126.67
164,left_elbow,109.8,122.38,-128.34
165,left_elbow,109.98,121.74,-125.14
166,left_elbow,110.11,121.25,-123.68
167,left_elbow,110.12,121.18,-118.74
168,left_elbow,110.13,121.13,-118.08
169,left_elbow,110.14,121.08,-118.03
170,left_elbow,109.47,120.52,-126.91
171,left_elbow,108.88,120.08,-128.67
172,left_elbow,108.51,119.83,-129.03
173,left_elbow,107.92,121.26,-124.15
174,left_elbow,107.63,122.09,-121.59
175,left_elbow,107.43,122.7,-120.88
176,left_elbow,107.31,123.09,-120.54
177,left_elbow,107.19,122.3,-109.95
178,left_elbow,107.15,121.85,-106.69
179,left_elbow,107.15,117.9,-162.15
180,left_elbow,107.14,116.67,-165.55
181,left_elbow,107.08,115.51,-155.61
182,left_elbow,110.08,111.21,-188.32
183,left_elbow,110.0,111.55,-183.21
184,left_elbow,109.94,111.43,-188.22
185,left_elbow,109.86,111.77,-181.15
186,left_elbow,110.11,111.13,-187.23
187,left_elbow,109.98,110.75,-181.9
188,left_elbow,109.94,110.23,-172.26
189,left_elbow,111.29,110.43,-169.54
190,left_elbow,111.84,110.48,-166.04
191,left_elbow,111.76,110.83,-160.6
192,left_elbow,111.91,110.88,-158.89
193,left_elbow,111.78,111.45,-156.53
194,left_elbow,112.88,111.95,-120.43
195,left_elbow,111.33,117.93,-106.69
196,left_elbow,110.36,120.06,-105.09
197,left_elbow,109.81,121.07,-106.1
198,left_elbow,109.9,120.58,-111.86
199,left_elbow,110.01,120.34,-114.81
200,left_elbow,110.47,120.1,-112.08
201,left_elbow,110.86,120.0,-110.34
202,left_elbow,111.25,119.8,-108.69
203,left_elbow,111.31,119.22,-111.53
204,left_elbow,111.35,118.97,-111.79
205,left_elbow,111.37,118.82,-111.18
206,left_elbow,111.4,118.69,-110.53
207,left_elbow,111.55,118.34,-111.37
208,left_elbow,111.59,118.24,-111.82
209,left_elbow,111.66,118.16,-112.17
210,left_elbow,111.66,117.96,-110.47
211,left_elbow,111.67,117.81,-109.33
212,left_elbow,111.79,117.77,-110.46
213,left_elbow,111.85,117.73,-112.1
214,left_elbow,111.89,117.7,-114.5
215,left_elbow,112.01,117.67,-114.13
216,left_elbow,112.07,117.66,-112.38
217,left_elbow,112.12,117.64,-112.26
218,left_elbow,112.16,117.63,-112.04
219,left_elbow,112.33,117.87,-112.08
220,left_elbow,112.44,117.98,-112.13
221,left_elbow,112.55,118.0,-112.52
222,left_elbow,112.63,118.0,-110.77
223,left_elbow,112.7,118.0,-110.29
224,left_elbow,112.96,118.42,-109.99
225,left_elbow,113.25,118.85,-108.81
226,left_elbow,113.56,118.99,-107.92
227,left_elbow,113.98,118.93,-111.76
228,left_elbow,114.19,118.95,-115.89
229,left_elbow,114.36,118.95,-116.21
230,left_elbow,114.56,118.98,-114.12
231,left_elbow,115.27,118.87,-119.13
232,left_elbow,115.79,118.85,-118.96
233,left_elbow,115.82,118.08,-121.05
234,left_elbow,115.8,117.95,-120.24
235,left_elbow,115.79,117.95,-119.41
236,left_elbow,114.49,115.42,-135.45
237,left_elbow,113.4,114.41,-140.9
238,left_elbow,112.77,113.95,-142.9
239,left_elbow,112.43,113.59,-143.08
240,left_elbow,116.15,101.76,-138.85
241,left_elbow,117.44,99.37,-136.94
242,left_elbow,118.51,97.13,-136.22
243,left_elbow,118.3,97.67,-137.16
244,left_elbow,118.17,97.58,-142.41
245,left_elbow,115.5,94.09,-140.81
246,left_elbow,114.18,94.23,-139.74
247,left_elbow,113.64,93.46,-139.32
248,left_elbow,112.17,88.72,-139.0
249,left_elbow,111.65,86.86,-138.62
250,left_elbow,111.11,86.86,-137.28
251,left_elbow,110.81,86.88,-137.62
252,left_elbow,110.88,87.3,-129.22
253,left_elbow,110.95,87.63,-130.23
254,left_elbow,110.96,87.35,-129.8
255,left_elbow,111.16,86.79,-137.47
256,left_elbow,111.3,86.5,-137.61
257,left_elbow,111.6,86.09,-138.8
258,left_elbow,111.73,85.98,-138.59
259,left_elbow,111.88,85.82,-138.18
260,left_elbow,112.05,85.86,-133.21
261,left_elbow,112.04,85.7,-127.65
262,left_elbow,112.03,85.62,-123.96
263,left_elbow,112.03,85.54,-120.48
264,left_elbow,112.08,85.62,-143.38
265,left_elbow,112.16,85.71,-147.34
266,left_elbow,112.26,85.84,-147.72
267,left_elbow,112.2,88.77,-144.01
268,left_elbow,112.12,88.9,-132.99
269,left_elbow,112.11,89.68,-133.24
270,left_elbow,112.09,90.32,-133.32
271,left_elbow,112.04,91.1,-131.67
272,left_elbow,112.04,91.54,-130.58
273,left_elbow,112.15,105.07,-130.88
274,left_elbow,112.15,105.77,-131.13
275,left_elbow,112.23,108.46,-131.25
276,left_elbow,112.33,114.18,-81.55
277,left_elbow,108.19,124.65,-59.31
278,left_elbow,108.26,144.11,-48.51
279,left_elbow,110.95,136.01,-110.45
280,left_elbow,112.73,128.68,-119.13
281,left_elbow,112.89,124.77,-146.18
282,left_elbow,113.01,122.19,-146.55
283,left_elbow,113.12,120.42,-147.22
284,left_elbow,113.25,119.2,-147.9
285,left_elbow,113.97,118.84,-149.88
286,left_elbow,114.63,118.19,-152.91
287,left_elbow,114.96,117.75,-151.45
288,left_elbow,114.99,117.43,-147.32
289,left_elbow,115.03,117.22,-145.39
290,left_elbow,115.05,117.06,-144.3
291,left_elbow,115.22,116.99,-147.53
292,left_elbow,115.35,116.9,-148.76
293,left_elbow,115.54,117.22,-148.09
294,left_elbow,115.64,117.83,-147.61
295,left_elbow,115.67,117.92,-147.47
296,left_elbow,115.8,117.91,-146.97
297,left_elbow,115.8,117.87,-144.08
298,left_elbow,115.81,117.85,-141.61
299,left_elbow,115.82,117.83,-140.28
300,left_elbow,115.97,118.01,-134.05
301,left_elbow,116.12,118.12,-130.13
302,left_elbow,116.18,118.2,-129.58
303,left_elbow,116.28,118.36,-134.46
304,left_elbow,116.39,118.39,-135.71
305,left_elbow,116.54,119.68,-150.17
306,left_elbow,116.69,120.47,-153.94
307,left_elbow,116.87,121.03,-153.94
308,left_elbow,116.91,121.22,-154.94
309,left_elbow,116.85,121.18,-150.61
310,left_elbow,116.78,121.14,-147.48
311,left_elbow,116.74,121.12,-146.28
312,left_elbow,116.9,121.62,-136.97
313,left_elbow,116.99,121.88,-134.51
314,left_elbow,117.04,122.07,-133.57
315,left_elbow,117.33,122.61,-136.03
316,left_elbow,117.44,122.87,-137.3
317,left_elbow,117.48,123.19,-138.96
318,left_elbow,117.74,128.12,-135.89
319,left_elbow,118.08,129.3,-136.49
320,left_elbow,118.33,129.69,-136.46
321,left_elbow,119.75,134.31,-150.29
322,left_elbow,120.21,135.87,-154.2
323,left_elbow,120.35,136.36,-156.65
324,left_elbow,119.94,135.53,-164.78
325,left_elbow,119.61,134.92,-160.37
326,left_elbow,124.47,125.46,-96.81
327,left_elbow,128.48,121.8,-82.96
328,left_elbow,128.16,121.09,-69.82
329,left_elbow,127.6,121.22,-62.82
330,left_elbow,126.48,121.7,-87.69
331,left_elbow,125.9,121.91,-95.97
332,left_elbow,125.84,122.06,-99.24
333,left_elbow,124.31,122.0,-117.17
334,left_elbow,123.86,118.91,-120.85
335,left_elbow,123.38,117.25,-121.42
336,left_elbow,123.39,103.79,-126.37
337,left_elbow,123.4,101.38,-127.88
338,left_elbow,123.3,99.78,-136.0
339,left_elbow,123.29,101.63,-130.6
340,left_elbow,123.24,102.45,-127.72
341,left_elbow,123.07,102.9,-120.98
342,left_elbow,122.33,120.27,-75.62
343,left_elbow,122.25,120.6,-71.99
344,left_elbow,120.3,126.6,-69.25
345,left_elbow,117.92,134.32,-49.16
346,left_elbow,116.55,154.94,-48.51
347,left_elbow,114.69,162.92,-46.71
348,left_elbow,117.63,148.55,-55.31
349,left_elbow,119.01,140.61,-56.63
350,left_elbow,119.76,136.55,-57.27
351,left_elbow,115.34,162.51,-33.99
352,left_elbow,114.3,165.01,-34.08
353,left_elbow,115.17,149.86,-42.75
354,left_elbow,119.22,124.28,-57.38
355,left_elbow,120.84,119.82,-59.26
356,left_elbow,121.57,118.97,-59.24
357,left_elbow,123.2,113.14,-82.63
358,left_elbow,124.16,111.83,-93.65
359,left_elbow,124.92,110.8,-106.94
360,left_elbow,125.25,105.33,-116.11
361,left_elbow,125.21,104.14,-113.39
362,left_elbow,125.29,104.09,-114.78
363,left_elbow,125.16,105.08,-107.95
364,left_elbow,124.97,105.4,-108.15
365,left_elbow,123.26,108.62,-76.43
366,left_elbow,122.88,115.68,-78.32
367,left_elbow,122.34,119.59,-73.98
368,left_elbow,122.08,120.23,-71.74
369,left_elbow,111.16,171.88,-37.24
370,left_elbow,113.04,158.78,-48.97
371,left_elbow,115.25,139.86,-55.72
372,left_elbow,117.64,138.14,-58.95
373,left_elbow,118.96,136.98,-60.79
374,left_elbow,120.27,131.76,-62.85
375,left_elbow,113.5,170.29,-38.14
376,left_elbow,112.46,172.08,-36.12
377,left_elbow,112.57,170.95,-35.73
378,left_elbow,113.09,176.59,-41.89
379,left_elbow,113.76,172.65,-44.37
380,left_elbow,115.13,171.15,-45.87
381,left_elbow,126.06,156.66,-72.1
382,left_elbow,128.88,150.47,-76.11
383,left_elbow,130.05,146.81,-80.26
384,left_elbow,129.17,147.02,-74.75
385,left_elbow,128.91,147.14,-72.44
386,left_elbow,129.08,147.41,-72.85
387,left_elbow,128.33,154.82,-82.31
388,left_elbow,125.86,158.5,-84.21
389,left_elbow,124.79,159.13,-83.18
390,left_elbow,119.59,170.01,-81.62
391,left_elbow,117.82,171.78,-80.11
392,left_elbow,117.34,173.02,-79.69
393,left_elbow,117.81,177.79,-78.82
394,left_elbow,118.11,178.9,-78.6
395,left_elbow,118.29,179.33,-75.93
396,left_elbow,118.4,179.29,-73.99
397,left_elbow,118.4,178.98,-72.96
398,left_elbow,118.46,179.02,-72.94
399,left_elbow,118.8,179.21,-58.41
400,left_elbow,118.96,179.36,-55.42
401,left_elbow,119.1,179.45,-54.3
402,left_elbow,119.16,174.95,-59.76
403,left_elbow,119.21,172.92,-62.6
404,left_elbow,119.24,171.72,-65.72
405,left_elbow,121.69,168.16,-95.92
406,left_elbow,122.97,167.03,-99.08
407,left_elbow,123.69,167.37,-101.83
408,left_elbow,125.88,167.58,-105.77
409,left_elbow,126.76,167.78,-106.89
410,left_elbow,127.21,167.84,-105.29
411,left_elbow,127.09,167.9,-103.68
412,left_elbow,127.01,167.94,-103.36
413,left_elbow,126.97,168.0,-103.65
414,left_elbow,126.88,172.73,-102.31
415,left_elbow,126.81,175.01,-101.91
416,left_elbow,126.78,176.11,-101.41
417,left_elbow,126.42,176.18,-105.58
418,left_elbow,126.1,176.17,-108.66
419,left_elbow,125.78,176.17,-109.64
420,left_elbow,125.42,177.02,-103.02
421,left_elbow,125.29,177.5,-99.35
422,left_elbow,125.26,178.9,-97.64
423,left_elbow,125.22,180.02,-92.18
424,left_elbow,125.22,181.09,-91.0
425,left_elbow,125.21,181.65,-90.83
426,left_elbow,124.95,181.52,-91.3
427,left_elbow,124.79,181.47,-91.6
428,left_elbow,124.63,181.41,-91.96
429,left_elbow,124.53,181.27,-91.52
430,left_elbow,124.43,181.16,-91.06
431,left_elbow,124.41,181.13,-90.65
432,left_elbow,124.4,180.27,-90.23
433,left_elbow,124.37,179.79,-90.13
434,left_elbow,124.35,179.69,-90.17
435,left_elbow,124.36,179.67,-89.8
436,left_elbow,124.39,179.66,-89.71
437,left_elbow,124.41,179.65,-89.8
438,left_elbow,124.38,180.44,-89.88
439,left_elbow,124.37,181.03,-89.84
440,left_elbow,124.37,181.47,-89.85
441,left_elbow,124.31,181.46,-88.43
442,left_elbow,124.27,181.43,-87.23
443,left_elbow,124.21,181.4,-86.81
444,left_elbow,123.99,181.4,-86.97
445,left_elbow,123.84,181.4,-87.0
446,left_elbow,123.74,181.4,-87.08
447,left_elbow,123.73,181.83,-89.42
448,left_elbow,123.73,182.16,-90.31
449,left_elbow,123.72,182.4,-90.59
450,left_elbow,123.67,182.87,-91.12
451,left_elbow,123.62,183.14,-91.71
452,left_elbow,123.59,183.38,-92.09
453,left_elbow,123.06,181.7,-91.88
454,left_elbow,122.8,180.91,-91.83
455,left_elbow,122.77,182.26,-94.12
