frame_no,joint_name,x_cm,y_cm,z_cm
152,left_elbow,133.61,52.63,-36.91
153,left_elbow,132.84,53.0,-38.58
154,left_elbow,132.64,53.18,-38.9
155,left_elbow,131.17,55.62,-11.77
156,left_elbow,130.62,56.64,-8.48
157,left_elbow,130.4,57.13,-7.11
158,left_elbow,130.38,57.33,-7.97
159,left_elbow,129.67,57.41,-14.89
160,left_elbow,129.33,57.51,-16.84
161,left_elbow,129.21,57.56,-17.51
162,left_elbow,128.52,59.72,-21.55
163,left_elbow,128.48,60.49,-22.64
164,left_elbow,125.47,63.72,12.6
165,left_elbow,124.61,64.7,15.47
166,left_elbow,124.31,65.09,15.52
167,left_elbow,124.35,67.87,-3.59
168,left_elbow,124.77,71.93,-3.24
169,left_elbow,125.02,72.88,-2.19
170,left_elbow,125.15,73.06,-1.1
171,left_elbow,125.26,73.33,-13.91
172,left_elbow,125.33,73.4,-16.61
173,left_elbow,125.4,73.85,-27.97
174,left_elbow,125.45,73.9,-30.27
175,left_elbow,125.48,73.91,-34.78
176,left_elbow,125.65,73.56,-10.21
177,left_elbow,125.66,69.44,-2.74
178,left_elbow,125.68,67.89,-0.86
179,left_elbow,125.69,67.2,-0.24
180,left_elbow,125.56,63.75,6.44
181,left_elbow,124.89,63.17,6.79
182,left_elbow,128.62,55.69,-19.51
183,left_elbow,129.22,54.7,-20.89
184,left_elbow,130.26,54.17,-19.55
185,left_elbow,131.47,53.56,-21.12
186,left_elbow,132.69,50.41,-35.73
187,left_elbow,132.81,49.58,-35.17
188,left_elbow,132.89,49.24,-37.47
189,left_elbow,133.71,47.78,-32.23
190,left_elbow,133.96,47.44,-30.99
191,left_elbow,134.06,47.35,-24.53
192,left_elbow,134.16,46.8,-20.33
193,left_elbow,134.17,46.59,-19.02
194,left_elbow,135.97,46.84,-33.66
195,left_elbow,136.41,46.82,-41.28
196,left_elbow,136.42,46.69,-40.52
197,left_elbow,136.24,46.54,-37.27
198,left_elbow,136.1,46.7,-22.64
199,left_elbow,135.9,46.81,-19.15
200,left_elbow,135.69,46.88,-17.28
201,left_elbow,135.24,46.91,-18.14
202,left_elbow,134.93,47.06,-22.65
203,left_elbow,134.67,47.17,-24.45
204,left_elbow,136.05,48.15,-43.35
205,left_elbow,136.54,48.72,-44.78
206,left_elbow,136.43,48.76,-30.63
207,left_elbow,136.41,48.86,-26.42
208,left_elbow,136.34,49.02,-23.57
209,left_elbow,136.29,49.09,-20.51
210,left_elbow,136.46,49.52,-22.18
211,left_elbow,136.57,49.8,-23.11
212,left_elbow,136.61,49.91,-23.22
213,left_elbow,135.88,49.9,-23.1
214,left_elbow,135.37,49.67,-17.37
215,left_elbow,135.0,49.5,-17.55
216,left_elbow,135.57,49.97,-32.03
217,left_elbow,136.2,50.33,-38.4
218,left_elbow,136.19,50.47,-35.31
219,left_elbow,136.18,50.58,-35.07
220,left_elbow,136.17,50.66,-34.88
221,left_elbow,136.16,50.7,-34.52
222,left_elbow,135.8,50.69,-35.79
223,left_elbow,135.68,50.69,-37.32
224,left_elbow,135.45,50.62,-36.67
225,left_elbow,136.39,52.69,-31.84
226,left_elbow,136.78,53.63,-28.49
227,left_elbow,136.76,53.86,-24.7
228,left_elbow,137.33,56.6,-46.02
229,left_elbow,137.44,57.22,-48.95
230,left_elbow,137.52,58.49,-35.09
231,left_elbow,137.56,58.92,-31.59
232,left_elbow,137.57,59.02,-30.68
233,left_elbow,137.6,59.09,-30.21
234,left_elbow,137.09,59.94,-32.62
235,left_elbow,136.81,60.31,-33.06
236,left_elbow,133.11,60.1,-7.98
237,left_elbow,130.95,61.09,0.38
238,left_elbow,130.38,61.49,-3.91
239,left_elbow,130.59,62.06,-6.34
240,left_elbow,130.53,62.36,-7.79
241,left_elbow,130.46,62.55,-5.81
242,left_elbow,130.32,62.71,-5.37
243,left_elbow,128.82,64.29,5.57
244,left_elbow,128.47,64.89,4.98
245,left_elbow,128.31,65.15,9.07
246,left_elbow,128.35,65.66,-3.1
247,left_elbow,128.34,65.97,-10.93
248,left_elbow,128.28,66.17,-9.83
249,left_elbow,127.21,66.35,18.72
250,left_elbow,126.76,66.46,20.64
251,left_elbow,126.94,66.6,-13.62
252,left_elbow,127.04,66.68,-16.56
253,left_elbow,127.11,66.71,-18.6
254,left_elbow,127.16,66.75,-19.28
255,left_elbow,127.65,66.73,-28.9
256,left_elbow,127.8,66.71,-33.94
257,left_elbow,127.96,66.68,-38.71
258,left_elbow,128.06,66.92,-43.53
259,left_elbow,128.16,67.04,-44.59
260,left_elbow,128.17,67.05,-38.47
261,left_elbow,128.17,67.12,-41.61
262,left_elbow,128.11,67.21,-40.69
263,left_elbow,127.76,67.61,-41.75
264,left_elbow,128.11,66.96,-41.46
265,left_elbow,128.25,66.59,-41.96
266,left_elbow,128.29,66.38,-42.46
267,left_elbow,128.52,66.38,-55.84
268,left_elbow,128.7,66.38,-54.45
269,left_elbow,128.88,66.37,-53.37
270,left_elbow,127.75,66.43,-50.63
271,left_elbow,127.05,66.47,-49.34
272,left_elbow,126.88,66.49,-48.7
273,left_elbow,127.29,66.4,-50.67
274,left_elbow,127.51,66.4,-39.94
275,left_elbow,127.88,66.43,-42.17
276,left_elbow,126.66,65.46,-14.64
277,left_elbow,126.18,65.16,-12.41
278,left_elbow,125.69,65.21,-17.96
279,left_elbow,126.58,64.9,-52.5
280,left_elbow,127.0,64.54,-45.73
281,left_elbow,127.27,64.43,-41.03
282,left_elbow,127.29,64.66,-42.93
283,left_elbow,127.29,64.84,-44.7
284,left_elbow,127.29,64.99,-44.76
285,left_elbow,127.27,65.97,-67.69
286,left_elbow,127.27,66.85,-66.56
287,left_elbow,127.34,67.3,-66.12
288,left_elbow,128.54,66.82,-66.35
289,left_elbow,129.06,66.56,-66.18
290,left_elbow,129.3,66.36,-64.6
291,left_elbow,129.44,65.97,-58.79
292,left_elbow,129.53,65.71,-55.68
293,left_elbow,129.58,65.56,-54.3
294,left_elbow,129.56,65.43,-55.74
295,left_elbow,129.56,65.34,-55.05
296,left_elbow,129.58,65.28,-54.53
297,left_elbow,129.82,65.17,-35.08
298,left_elbow,130.0,65.1,-34.08
299,left_elbow,130.13,65.05,-34.36
300,left_elbow,130.4,65.12,-38.08
301,left_elbow,130.59,65.16,-38.35
302,left_elbow,130.77,65.17,-39.89
303,left_elbow,130.91,65.17,-40.62
304,left_elbow,130.97,65.17,-36.65
305,left_elbow,130.98,65.17,-33.18
306,left_elbow,130.87,65.42,-32.97
307,left_elbow,130.8,65.6,-34.09
308,left_elbow,130.74,65.74,-34.55
309,left_elbow,130.77,65.7,-34.76
310,left_elbow,130.79,65.67,-33.18
311,left_elbow,130.79,65.65,-32.72
312,left_elbow,131.04,65.5,-33.8
313,left_elbow,131.2,65.4,-33.91
314,left_elbow,131.33,65.35,-35.01
315,left_elbow,131.55,65.39,-52.09
316,left_elbow,131.72,65.4,-54.99
317,left_elbow,131.85,65.4,-55.64
318,left_elbow,131.61,65.47,-39.46
319,left_elbow,131.43,65.5,-32.24
320,left_elbow,131.32,65.52,-32.9
321,left_elbow,131.06,64.99,-29.15
322,left_elbow,130.82,64.87,-27.3
323,left_elbow,130.69,64.86,-26.26
324,left_elbow,130.41,64.89,-28.95
325,left_elbow,130.24,64.91,-29.44
326,left_elbow,130.12,64.91,-29.5
327,left_elbow,130.32,65.15,-55.38
328,left_elbow,130.43,65.32,-57.48
329,left_elbow,130.49,65.42,-57.68
330,left_elbow,130.21,65.47,-21.92
331,left_elbow,130.02,65.49,-16.54
332,left_elbow,129.88,65.5,-15.83
333,left_elbow,129.89,65.49,-10.73
334,left_elbow,129.89,65.48,-7.29
335,left_elbow,129.89,65.46,-5.89
336,left_elbow,129.93,65.5,-44.75
337,left_elbow,130.01,65.52,-48.14
338,left_elbow,130.07,65.54,-48.38
339,left_elbow,129.88,66.54,-43.62
340,left_elbow,129.71,67.17,-45.99
341,left_elbow,129.61,67.54,-44.05
342,left_elbow,128.76,68.0,-45.56
343,left_elbow,128.51,68.22,-48.14
344,left_elbow,128.49,68.3,-52.09
345,left_elbow,125.79,69.55,-58.01
346,left_elbow,124.96,69.8,-63.45
347,left_elbow,124.59,69.96,-61.63
348,left_elbow,123.85,70.95,-57.6
349,left_elbow,123.39,71.13,-54.59
350,left_elbow,123.19,71.1,-51.02
351,left_elbow,122.59,71.81,-31.31
352,left_elbow,122.48,71.92,-29.89
353,left_elbow,122.39,71.91,-24.99
354,left_elbow,121.71,72.28,-26.1
355,left_elbow,121.17,72.49,-32.35
356,left_elbow,121.06,72.49,-34.44
357,left_elbow,121.25,72.45,-35.91
358,left_elbow,121.36,72.48,-36.31
359,left_elbow,121.39,72.45,-35.9
360,left_elbow,122.46,72.59,-36.35
361,left_elbow,123.17,72.65,-36.63
362,left_elbow,123.63,72.71,-36.73
363,left_elbow,125.61,72.72,-39.69
364,left_elbow,126.55,72.85,-39.34
365,left_elbow,126.8,73.04,-38.53
366,left_elbow,129.15,73.04,-39.06
367,left_elbow,129.73,73.17,-36.9
368,left_elbow,130.01,73.27,-29.46
369,left_elbow,132.69,71.56,-54.27
370,left_elbow,133.41,71.26,-55.87
371,left_elbow,133.21,71.31,-51.46
372,left_elbow,133.65,70.05,-53.62
373,left_elbow,134.06,69.13,-50.98
374,left_elbow,134.15,68.96,-46.28
375,left_elbow,135.35,68.35,-38.09
376,left_elbow,135.58,68.03,-34.19
377,left_elbow,135.57,68.14,-36.17
378,left_elbow,137.36,68.24,-85.45
379,left_elbow,138.07,68.17,-78.14
380,left_elbow,138.31,68.07,-72.71
381,left_elbow,139.4,67.89,-125.34
382,left_elbow,139.44,67.93,-95.36
383,left_elbow,139.3,67.95,-128.59
384,left_elbow,140.78,68.12,-102.41
385,left_elbow,141.0,68.37,-93.35
386,left_elbow,142.03,68.4,-96.47
387,left_elbow,140.88,70.83,-95.6
388,left_elbow,140.22,72.18,-93.27
389,left_elbow,139.86,72.88,-91.93
390,left_elbow,136.44,77.2,-83.89
391,left_elbow,134.85,78.22,-76.76
392,left_elbow,133.82,77.73,-77.06
393,left_elbow,132.34,78.19,-67.96
394,left_elbow,131.78,78.46,-65.54
395,left_elbow,131.29,79.05,-68.3
396,left_elbow,129.73,78.61,-64.06
397,left_elbow,129.83,78.29,-63.84
398,left_elbow,129.62,78.18,-65.8
399,left_elbow,128.62,78.09,-52.21
400,left_elbow,128.58,77.74,-53.06
401,left_elbow,128.67,77.66,-51.9
402,left_elbow,127.85,76.86,-42.31
403,left_elbow,127.72,76.57,-43.61
404,left_elbow,127.73,76.45,-45.85
405,left_elbow,127.3,76.44,-43.27
406,left_elbow,127.11,76.42,-42.75
407,left_elbow,127.15,76.35,-42.69
408,left_elbow,127.01,76.67,-42.9
409,left_elbow,127.0,77.08,-43.58
410,left_elbow,127.03,77.24,-43.96
411,left_elbow,126.87,77.35,-54.49
412,left_elbow,126.87,77.34,-57.27
413,left_elbow,126.89,77.33,-57.52
414,left_elbow,126.9,77.33,-58.0
415,left_elbow,126.9,77.34,-57.77
416,left_elbow,126.91,77.33,-54.71
417,left_elbow,126.91,77.26,-54.42
418,left_elbow,126.87,77.05,-50.78
419,left_elbow,126.75,77.05,-49.91
420,left_elbow,126.43,77.13,-58.18
421,left_elbow,126.33,77.66,-63.88
422,left_elbow,126.27,77.7,-60.07
423,left_elbow,126.28,78.36,-59.5
424,left_elbow,126.31,78.6,-61.02
425,left_elbow,126.45,78.65,-62.16
426,left_elbow,126.46,78.77,-73.06
427,left_elbow,126.46,78.86,-79.27
428,left_elbow,126.46,78.98,-77.17
429,left_elbow,126.57,79.18,-84.77
430,left_elbow,126.59,79.19,-85.62
431,left_elbow,126.62,79.19,-85.58
432,left_elbow,126.68,79.14,-90.47
433,left_elbow,126.87,79.08,-100.74
434,left_elbow,127.11,79.06,-96.24
435,left_elbow,127.25,79.25,-96.81
436,left_elbow,127.32,79.32,-95.44
437,left_elbow,127.43,79.35,-93.1
438,left_elbow,127.55,79.49,-85.77
439,left_elbow,127.84,79.86,-92.98
440,left_elbow,128.08,80.15,-94.71
441,left_elbow,128.16,81.01,-94.98
442,left_elbow,128.23,81.44,-95.96
443,left_elbow,128.28,81.59,-97.34
444,left_elbow,128.23,81.45,-78.08
445,left_elbow,128.23,81.42,-77.49
446,left_elbow,128.23,81.46,-78.55
447,left_elbow,128.14,80.69,-76.7
448,left_elbow,128.0,80.2,-76.68
449,left_elbow,127.89,79.88,-77.08
450,left_elbow,127.54,75.13,-83.46
451,left_elbow,127.26,73.62,-85.4
452,left_elbow,127.04,72.84,-86.89
453,left_elbow,125.13,68.46,-85.74
454,left_elbow,124.35,67.36,-85.53
455,left_elbow,123.89,67.04,-85.38
456,left_elbow,128.31,60.1,-18.68
457,left_elbow,129.28,58.72,-20.9
458,left_elbow,129.89,58.23,-23.64
459,left_elbow,129.75,56.51,-54.57
460,left_elbow,129.74,56.36,-66.4
461,left_elbow,129.89,56.52,-67.18
462,left_elbow,127.86,51.69,-67.31
463,left_elbow,127.73,50.79,-76.06
464,left_elbow,127.73,50.98,-77.9
465,left_elbow,128.96,49.43,-74.51
466,left_elbow,129.63,48.78,-74.47
467,left_elbow,130.05,48.66,-79.35
468,left_elbow,130.6,48.51,-77.5
469,left_elbow,130.84,48.5,-76.96
470,left_elbow,130.95,48.5,-73.23
471,left_elbow,131.45,48.69,-68.6
472,left_elbow,131.96,48.78,-66.61
473,left_elbow,132.35,48.72,-64.44
474,left_elbow,132.25,49.5,-60.55
475,left_elbow,132.17,50.03,-57.43
476,left_elbow,132.12,50.37,-58.99
477,left_elbow,132.17,56.01,-77.6
478,left_elbow,132.23,58.81,-83.67
479,left_elbow,132.28,59.62,-80.57
480,left_elbow,141.49,61.69,-93.02
481,left_elbow,142.66,62.0,-89.45
482,left_elbow,141.51,62.11,-73.89
483,left_elbow,132.38,66.43,-83.91
484,left_elbow,130.14,66.82,-89.83
485,left_elbow,129.31,66.69,-91.5
486,left_elbow,134.85,76.59,-98.72
487,left_elbow,136.53,80.55,-100.17
488,left_elbow,137.86,82.2,-104.42
489,left_elbow,141.36,80.06,-136.54
490,left_elbow,140.59,76.44,-138.8
491,left_elbow,140.04,74.38,-141.69
492,left_elbow,138.85,78.53,-147.76
493,left_elbow,137.8,79.62,-150.66
494,left_elbow,137.32,80.19,-150.06
495,left_elbow,139.33,79.58,-161.8
496,left_elbow,139.2,80.33,-148.79
497,left_elbow,139.16,79.76,-146.66
498,left_elbow,139.13,76.01,-151.92
499,left_elbow,140.74,73.25,-131.61
500,left_elbow,140.61,73.43,-131.93
501,left_elbow,132.75,73.46,-35.39
502,left_elbow,127.27,72.83,-20.28
503,left_elbow,127.93,75.99,-19.24
504,left_elbow,137.14,79.36,-217.22
505,left_elbow,144.91,86.33,-205.75
506,left_elbow,146.84,88.01,-213.54
507,left_elbow,144.86,90.9,-186.14
508,left_elbow,144.77,91.4,-204.3
509,left_elbow,143.97,93.62,-190.01
510,left_elbow,144.46,90.95,-176.98
511,left_elbow,146.21,89.76,-186.47
512,left_elbow,146.65,89.36,-189.64
513,left_elbow,143.46,76.36,-186.34
514,left_elbow,142.35,73.39,-195.27
515,left_elbow,143.52,75.34,-192.94
516,left_elbow,142.84,76.28,-214.11
517,left_elbow,142.48,76.92,-218.26
518,left_elbow,142.2,77.34,-218.92
519,left_elbow,145.57,85.92,-217.86
520,left_elbow,145.9,88.27,-212.17
521,left_elbow,145.77,90.25,-209.33
522,left_elbow,151.92,90.81,-265.15
523,left_elbow,153.48,89.78,-261.05
524,left_elbow,154.85,89.32,-266.25
525,left_elbow,153.55,88.09,-272.34
526,left_elbow,153.24,87.7,-271.49
527,left_elbow,153.01,87.52,-270.11
528,left_elbow,148.71,88.69,-214.24
529,left_elbow,147.29,88.51,-211.44
530,left_elbow,147.19,88.34,-222.3
531,left_elbow,147.54,90.45,-222.32
532,left_elbow,147.63,90.79,-201.98
533,left_elbow,147.66,91.71,-207.34
534,left_elbow,143.16,98.31,-126.92
535,left_elbow,143.6,100.9,-156.36
536,left_elbow,143.71,103.59,-165.15
537,left_elbow,141.87,101.21,-152.92
538,left_elbow,141.94,99.7,-162.37
539,left_elbow,142.06,99.59,-162.38
540,left_elbow,144.31,95.51,-184.74
541,left_elbow,145.31,92.98,-186.16
542,left_elbow,145.84,92.28,-190.99
543,left_elbow,145.86,96.44,-168.93
544,left_elbow,145.91,97.78,-159.44
545,left_elbow,147.65,97.53,-157.48
546,left_elbow,150.37,97.32,-205.55
547,left_elbow,150.81,99.18,-210.35
548,left_elbow,150.6,98.79,-224.59
549,left_elbow,150.13,92.78,-206.95
550,left_elbow,146.73,81.53,-202.88
551,left_elbow,145.17,78.44,-200.32
552,left_elbow,151.18,78.73,-236.77
553,left_elbow,152.92,79.35,-240.91
554,left_elbow,153.89,80.22,-243.54
555,left_elbow,154.17,87.04,-195.23
556,left_elbow,153.89,91.73,-199.37
557,left_elbow,154.29,93.18,-202.28
558,left_elbow,154.04,97.28,-235.62
559,left_elbow,153.3,98.64,-233.53
